business_name,email,phone,website,city,state,verticals,trust_score,tier,google_rating,google_review_count
Prestige Pool and Patio,info@prestigepp.com,(469) 644-7665,https://www.prestigepp.com/,Frisco,TX,Pool,0,unranked,4.5,457
Elite Outdoor Living,info@eliteol.com,(469) 742-3802,https://eliteol.com/,Frisco,TX,"Pool, Patio Covers",0,unranked,4.9,65
"Platinum Outdoor Environments - Fences, Patios & Decks",cody@platinumfenceco.com,(940) 465-1915,https://www.platinumoutdoorenv.com/,Frisco,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,4.1,24
G3 Pools,info@g3pools.com,(469) 927-6333,https://www.g3pools.com/,Frisco,TX,Pool,0,unranked,4.7,64
Terrace Outdoor Design,info@terraceoutdoordesign.com,(972) 521-3998,https://www.terraceoutdoordesign.com/,Frisco,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,4.8,26
Expertpools LLC,expertpools@yahoo.com,(972) 370-7665,http://expertpoolsllc.com/,Frisco,TX,Pool,0,unranked,4.8,434
Southwest Shade Solutions,info@southwestshade.com,(817) 424-1299,http://www.southwestshadesolutions.com/,Fort Worth,TX,"Pool, Motorized Shades",0,unranked,4.7,20
WaterTex Pools,info@watertexpools.com,(817) 779-8006,https://watertexpools.com/,Fort Worth,TX,Pool,0,unranked,4.7,162
Premier Shades & Screens | Exterior Motorized Patio Screens Dallas Ft. Worth TX,info@premierscreens.com,(214) 845-7676,https://premierscreens.com/,Dallas,TX,"Pool, Motorized Shades",0,unranked,5.0,11
Premium Poolsmith,janice@premiumpoolsmith.com,(214) 998-4667,http://premiumpoolsmithdfw.com/,Southlake,TX,Pool,0,unranked,4.9,393
Mr. Pool Leak Repair - Southlake,mrpoolleakrepair@gmail.com,(817) 309-7082,https://mrpoolleakrepair.com/southlake-pool-leak-detection-services/?utm_campaign=gmb,Southlake,TX,Pool,0,unranked,4.6,34
Pool Master Over Texas LLC,info@mysite.com,(817) 918-4475,http://www.poolmastertx.com/,Colleyville,TX,Pool,0,unranked,4.9,61
Meyer's Pool Care,info@meyerspoolcare.com,(817) 442-5787,http://meyerspoolcare.com/,Colleyville,TX,Pool,0,unranked,5.0,59
AquaMedic,poolrepair@txaquamedic.com,(817) 788-0744,https://txaquamedic.com/,North Richland Hills,TX,Pool,0,unranked,4.8,40
Brennan Enterprises,hello@brennancorp.com,(972) 619-9281,https://brennancorp.com/,Arlington,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,4.9,648
"Pool and Spa Enclosures, LLC",info@sunrooms-enclosures.com,(609) 655-8898,http://www.sunrooms-enclosures.com/,Arlington,TX,Pool,0,unranked,4.9,33
Gold Medal Pools,info@goldmedalpools.com,(877) 496-4608,https://www.goldmedalpools.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,Plano,TX,Pool,0,unranked,4.4,869
Texas Pool Supply,info@heritagepsg.com,(469) 946-0426,https://www.heritagepoolsupplygroup.com/en/distributor-network/TPSFRIS/,Frisco,TX,Pool,0,unranked,3.8,17
Tropic Island Pools,service@tropicislandpools.com,(877) 730-7665,http://www.tropicislandpools.com/,Frisco,TX,Pool,0,unranked,4.0,20
H30 Pools and Exteriors,info@h30pools.com,(682) 409-9372,https://h30pools.com/,Fort Worth,TX,Pool,0,unranked,5.0,10
Hobert Pools & Spas,n@u.jm,(972) 690-8118,https://hobertpools.com/,Dallas,TX,Pool,0,unranked,4.2,204
Custom Pools By Brian,brian@custompoolsbybrian.com,(469) 307-3964,https://www.custompoolsbybrian.com/,Dallas,TX,Pool,0,unranked,5.0,34
Verde Outdoors,contact@funto.comverde,(940) 600-9926,http://www.verdeoutdoors.com/,Colleyville,TX,Pool,0,unranked,4.8,24
Eclipse Custom Homes,info@eclipsecustomhomes.com,(817) 320-4536,http://www.eclipsecustomhomes.com/,Grapevine,TX,"Pool, Motorized Shades",0,unranked,5.0,23
Preferred Exteriors,office@preferredext.com,(972) 955-6048,https://www.preferredext.com/,Grapevine,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,4.9,75
Kingswood Outdoors,info@kingswoodoutdoors.com,(972) 800-2290,https://kingswoodoutdoors.com/,North Richland Hills,TX,"Pool, Patio Covers",0,unranked,5.0,23
DFW Retaining Walls and Pool Demolition LLC.,info@dfwpoolretainingwalls.com,(817) 993-9446,http://dfwpoolretainingwalls.com/,Arlington,TX,Pool,0,unranked,4.9,85
Foley Pools,sales@foleypools.com,(972) 423-7178,https://foleypools.com/,Plano,TX,Pool,0,unranked,4.5,533
Medallion Pools of Texas,info@medallionpooldesign.com,(469) 667-7426,http://www.medallionpooldesign.com/,Frisco,TX,Pool,0,unranked,4.8,166
Tropix Pools & Outdoor Living,hello@tropixpools.com,(972) 276-2222,https://www.tropixpools.com/,Frisco,TX,Pool,0,unranked,4.9,279
Tin Star Fencing,sales@tsfencing.com,(817) 882-6019,https://tsfencing.com/,Fort Worth,TX,Pool,0,unranked,5.0,57
TX Pool & Construction,aulloa@txpoolconstruction.com,(469) 494-9120,https://txpoolconstruction.com/,Dallas,TX,Pool,0,unranked,4.8,18
Creative Pools,gregballardpools@att.net,(214) 373-7665,https://dallascreativepools.com/,Dallas,TX,Pool,0,unranked,4.7,12
Katchakid,info@katchakid.com,(972) 221-6605,https://katchakid.com/lewisville-dallas-location/,Dallas,TX,Pool,0,unranked,4.7,135
D's Pool Care Inc.,dallasdodson77@gmail.com,(817) 845-3533,http://www.wecleanpools.com/,Arlington,TX,Pool,0,unranked,5.0,54
Signature Pools,info@signaturepoolstx.com,(214) 810-2369,http://www.signaturepoolstx.com/,Irving,TX,Pool,0,unranked,4.7,35
Pacific Pool Plastering,pacificpoolplastering@yahoo.com,(469) 858-9859,https://pacificpoolplaster.com/,Irving,TX,Pool,0,unranked,4.8,162
Texas Express Pool Remodeling LLC,texasxpress_irwin@yahoo.com,(972) 977-7500,http://texasexpresspool.com/,Irving,TX,Pool,0,unranked,4.9,38
Romo's Pools & Plastering,romospools@verizon.net,(972) 790-9160,http://www.romospoolsandplastering.com/,Irving,TX,Pool,0,unranked,4.5,20
Fun N Sun Pools,info@funnsunpools.com,(972) 790-7311,https://www.funnsunpools.com/,Irving,TX,Pool,0,unranked,4.2,9
Canyon Oak Pools,info@canyonoakpools.com,(972) 561-9090,https://www.canyonoakpools.com/,McKinney,TX,Pool,0,unranked,5.0,86
"Southernwind Pools, Inc.",info@southernwindpools.com,(972) 783-4090,http://www.southernwindpools.com/,McKinney,TX,Pool,0,unranked,4.5,103
Pool Boss,office@ntxpoolboss.com,(214) 766-2824,http://www.ntxpoolboss.com/,McKinney,TX,Pool,0,unranked,4.6,56
Patio Escapes,info@patioescapes.com,(214) 578-7802,http://patioescapes.com/,McKinney,TX,"Pool, Patio Covers",0,unranked,5.0,1
EAV Construction,eavconstructionllc@gmail.com,(972) 750-9887,http://eavconstruction.com/,Richardson,TX,Pool,0,unranked,5.0,20
Paradise Pools Of Texas,info@fcg-construct.com,(469) 887-1867,https://theparadisepool.com/,Richardson,TX,Pool,0,unranked,5.0,4
Innovative PoolTech,javi.juarez@innovativepooltech.com,(469) 279-5553,https://www.innovativepooltech.com/,Garland,TX,Pool,0,unranked,5.0,35
Pool Tech,poolrepair@sbcglobal.net,(214) 762-3104,https://www.pooltechpools.com/,Mesquite,TX,Pool,0,unranked,4.9,446
Texas Premier Oasis,info@texaspremieroasis.com,(214) 557-7809,http://texaspremieroasis.com/,Mesquite,TX,Pool,0,unranked,4.9,28
Dickson Brothers Inc,onlinesales@dicksonbrothers.com,(972) 288-7537,http://www.dicksonbrothers.com/,Mesquite,TX,Pool,0,unranked,4.5,372
Aqua Architects,office@aquaarchitectsdfw.com,(469) 571-0195,http://aquaarchitectsdfw.com/,Mesquite,TX,Pool,0,unranked,5.0,21
Signature Pool and Patio,service@signaturepoolandpatio.comcall,(214) 501-4835,http://www.signaturepoolandpatio.com/,Rowlett,TX,"Pool, Patio Covers",0,unranked,4.6,17
The Blue Lagoons,tblgpools@gmail.com,(214) 865-7606,https://www.bluelagoonspoolservice.com/,Rowlett,TX,Pool,0,unranked,4.8,218
El Dorado Pools + Outdoors,contact@eldoradopools.com,(214) 607-4700,http://www.eldoradopools.com/,Rowlett,TX,Pool,0,unranked,3.5,22
Pool Xperts,info@pool-xperts.com,(469) 215-7946,http://www.pool-xperts.com/,Rowlett,TX,Pool,0,unranked,4.9,55
Pool Stop Custom Pools,382-5659harvey@poolstoponline.comstore,(972) 645-4586,http://poolstoponline.com/?utm_campaign=gmb,Rockwall,TX,Pool,0,unranked,4.2,228
Rockwall Contractors,ecastro@rockwallcontractors.com,(972) 762-9502,https://www.rockwallcontractors.com/,Rockwall,TX,"Pool, Motorized Shades",0,unranked,4.9,29
Hobert Pools & Spas,n@u.jm,(972) 772-3358,https://hobertpools.com/,Rockwall,TX,Pool,0,unranked,4.5,85
Pool Makeovers llc,poolboygreg@yahoo.com,(972) 310-6672,http://poolmakeovers.org/,Rockwall,TX,Pool,0,unranked,4.3,6
Cullen Pools,info@cullenpools.com,(972) 771-8863,http://www.cullenpools.com/,Rockwall,TX,Pool,0,unranked,3.2,12
Elite Swimming Pool & Spa Service,elitesss1@gmail.com,(469) 855-4505,http://elitesss.com/?utm_source=Google+Profile&utm_medium=organic,Rockwall,TX,Pool,0,unranked,4.8,125
A Veterans Pool Company Wylie,bigsarge@aveteranspoolcompany.com,(469) 981-7665,https://aveteranspoolcompany.com/wylie/,Wylie,TX,Pool,0,unranked,4.6,11
Sunbelt Pools inc.,info@sunbeltpools.com,(214) 343-1133,http://www.sunbeltpools.com/,Wylie,TX,Pool,0,unranked,4.8,49
Four Seasons Lawn + Landscaping,hello@fourseasons-lawn.com,(214) 504-4250,https://fourseasons-lawn.com/,Murphy,TX,Pool,0,unranked,4.7,77
Lone Star Pool & Patio,info@lonestarpoolandpatios.com,(469) 358-2472,https://lonestarpoolandpatios.com/,Sachse,TX,Pool,0,unranked,4.1,11
Dreamcatchers Construction,pat@dreamcatchersconstruction.com,(254) 624-9044,http://www.dreamcatchersconstruction.com/,Lucas,TX,"Pool, Patio Covers",0,unranked,4.6,18
Edge Outdoor Designs,info@edgeod.com,(972) 800-7435,http://www.edgeod.com/,Prosper,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,5.0,49
Celina Outdoor Living Solutions,info@celinaoutdoorsolutions.com,(972) 433-0424,https://www.celinaoutdoorsolutions.com/,Celina,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,,0
"Gideo Construction, Inc.",info@gideoconstruction.com,(972) 407-0000,https://www.gideoconstruction.com/,Celina,TX,Pool,0,unranked,,0
Outdoor Living Pool & Patio,info@outdoorliving-poolandpatio.com,(972) 317-3500,http://www.outdoorliving-poolandpatio.com/,Denton,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,4.5,312
Vega Pools & Outdoor Living,sales@vegapools.com,(940) 387-5868,http://vegapools.com/,Denton,TX,Pool,0,unranked,3.9,26
Zodiac Pools & Outdoor Living,sales@zodiacpoolstx.com,(940) 213-3719,http://www.zodiacpoolstx.com/,Denton,TX,Pool,0,unranked,4.4,70
Petri Pools,petripools@gmail.com,(972) 219-8700,http://www.petripools.com/,Lewisville,TX,Pool,0,unranked,4.8,178
Fiberglass Pool Guyz,info@bensonsbakery.co.uk,(469) 897-0015,http://fiberglasspoolguyz.com/,Lewisville,TX,Pool,0,unranked,4.2,36
Elite Concepts,mike@eliteconceptsinc.com,(214) 222-1225,https://eliteconceptsinc.com/,Lewisville,TX,Pool,0,unranked,5.0,2
Inground Pools of Paradise,poolsofparadise@gmail.com,(469) 464-3610,https://poolsdallas.net/,Lewisville,TX,Pool,0,unranked,4.2,45
Better Fence Company - Lewisville,info@abetterfencecompany.com,(214) 425-7232,https://abetterfencecompany.com/lewisville-fence-companies/,Lewisville,TX,Pool,0,unranked,5.0,1
Kodiak Fence Company,sales@kodiakfencecompany.com,(469) 754-8913,https://kodiakfencecompany.com/,Flower Mound,TX,Pool,0,unranked,5.0,87
Shaw Pools,info@shawpools.com,(817) 925-7556,http://www.shawpools.com/,Flower Mound,TX,Pool,0,unranked,3.9,11
"Robertson Pools, Inc",info@robertsonpools.com,(972) 393-2152,http://www.robertsonpools.com/,Flower Mound,TX,Pool,0,unranked,4.0,142
Pool Care Specialists,info@poolcarespecialists.com,(972) 829-8485,https://poolcarespecialists.com/,Flower Mound,TX,Pool,0,unranked,4.7,189
Aquatechnik Pool Service,info@aquatechnikpools.com,(972) 746-5501,https://www.aquatechnikpools.com/,Flower Mound,TX,Pool,0,unranked,4.8,16
Hourman LLC,mark@hourmanllc.com,(214) 984-6096,https://hourmanllc.com/,The Colony,TX,Pool,0,unranked,5.0,37
Perry Custom Builders,paulgperry@gmail.com,(940) 442-9134,http://www.perrycustombuilders.com/,Corinth,TX,"Pool, Patio Covers",0,unranked,5.0,10
Hardy Poolscapes,info@hardypoolscapes.comdfw,(940) 600-3605,https://www.hardypoolscapes.com/,Highland Village,TX,Pool,0,unranked,5.0,3
Premier Contracting,info@premier-contracting.com,(972) 317-6364,http://www.premier-contracting.com/,Highland Village,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,5.0,18
Legacy Custom Pools,troy@legacycustompools.org,(214) 251-2846,https://www.legacycustompools.org/,Coppell,TX,Pool,0,unranked,4.6,10
"Beyond Expectations, LLC",richard@beyondexps.com,(972) 955-6250,http://www.beyondexps.com/,Coppell,TX,"Pool, Patio Covers",0,unranked,4.4,7
Hartsell Pool Renovations,tom@hartsellpools.com,(817) 485-7525,http://www.hartsellpools.com/,Haltom City,TX,Pool,0,unranked,3.4,28
G&S Renovations,maria@gnspools.com,(817) 560-2413,http://gnspools.com/,Watauga,TX,Pool,0,unranked,4.1,8
Pool Leak Detection and Repair - Manly Maids,contact@manlymaids.com,(469) 628-6483,http://www.manlymaids.com/,Watauga,TX,Pool,0,unranked,4.4,61
Pool Logistics,sales@poollogistics.com,(817) 793-4290,https://www.poollogistics.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17067059352310888190,Watauga,TX,Pool,0,unranked,4.7,48
"SEA BLUE POOL AND SPA SERVICES, LLC",seabluepool@yahoo.com,(817) 897-0751,https://seabluepoolandspaservicesllc.com/,Saginaw,TX,Pool,0,unranked,4.9,92
Emerald Pool Care,info@emeraldcustompools.com,(817) 210-6524,https://emeraldcustompools.com/pool-care/,Saginaw,TX,Pool,0,unranked,5.0,24
Henry’s Enclosures Inc.,info@henrysenclosures.com,(561) 284-0415,https://www.henrysenclosures.com/,Lake Worth,TX,Pool,0,unranked,4.7,62
Sun-Ray Pools of Burleson,info@sun-raypools.com,(817) 295-5322,http://www.sun-raypools.com/,Crowley,TX,Pool,0,unranked,4.3,34
Texas Tides Custom Pools,jrnelson406@gmail.com,(817) 305-6469,https://www.texastidespools.com/,Crowley,TX,Pool,0,unranked,5.0,43
Dolce Pools,tyler@dolcepools.com,(817) 300-3606,http://www.dolcepools.com/,Mansfield,TX,"Pool, Patio Covers",0,unranked,5.0,39
Bonnie & Clydes Pools and Spas,nrh@bncpools.com,(817) 295-7946,http://www.bncpools.com/,Burleson,TX,Pool,0,unranked,4.3,93
Supreme Pools,supremepools1@att.net,(817) 558-0057,http://www.supremepoolstx.com/,Cleburne,TX,Pool,0,unranked,4.6,20
Cleburne Fence,quote@cleburnefence.net,(817) 645-3348,http://www.cleburnefence.net/,Cleburne,TX,Pool,0,unranked,4.9,49
Stone Bison General Construction,stonebisondees@gmail.com,(817) 946-6776,https://stonebisonconstruction.com/,Cleburne,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,5.0,21
BRIGHT POOLS LLC,brittany@brightpoolsllc.com,(214) 762-5388,http://www.brightpoolsllc.com/,Midlothian,TX,Pool,0,unranked,4.9,39
RiverMist Pools and Spas,bill@rivermistpools.com,(972) 775-1444,http://www.rivermistpools.com/,Midlothian,TX,"Pool, Patio Covers",0,unranked,4.8,95
Crystal Clear Custom Pools,service@cccpools.com,(214) 893-3922,http://www.cccpools.com/,Midlothian,TX,Pool,0,unranked,4.8,146
Complete Outdoor Living Pools & Spas,completeoutdoorliving@gmail.com,(972) 693-7549,http://colpools.com/?utm_source=gmb&utm_medium=referral,Midlothian,TX,Pool,0,unranked,4.9,28
Blue Diamond Pools,mybluediamondpools@gmail.com,(817) 821-1786,https://sites.google.com/view/bluediamondpools/home?authuser=0,Midlothian,TX,Pool,0,unranked,5.0,41
"B & J Custom Homes, Inc.",info@bjcustomhomes.com,(214) 206-8949,http://www.bjcustomhomes.com/,Cedar Hill,TX,"Pool, Motorized Shades",0,unranked,5.0,3
Innovative Projects and Design,innovativeprojectsanddesigns@gmail.com,(469) 493-6211,http://www.ipadprojects.com/,DeSoto,TX,"Pool, Patio Covers, Motorized Shades",0,unranked,4.5,26
Universal Enclosures Systems,sday@ues-tx.com,(972) 298-0531,https://www.universalenclosures.com/,Duncanville,TX,Pool,0,unranked,4.0,1
Blue Canyon Poolscape Concepts LLC,whartonheath@yahoo.com,(903) 399-2275,http://www.bluecanyonpools.com/,Red Oak,TX,Pool,0,unranked,4.7,19
"Next Century Screens, Inc.",info@nextcenturyscreens.com,(972) 496-4981,http://www.nextcenturyscreens.com/,Dallas,TX,Pool,0,unranked,4.8,21
Precision Siding & Construction,info@precisionhomeproducts.com,(888) 342-4831,http://www.precisionhomeproducts.com/,Grand Prairie,TX,"Pool, Motorized Shades",0,unranked,4.8,836
Vito's Pool Service LLC,info@vitospoolservice.com,,https://vitospoolservice.com/,McKinney,TX,Pool,0,unranked,4.9,102
Advance Pools Inc,service@advancepools.com,(972) 248-4360,https://www.advancepoolsinc.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,McKinney,TX,Pool,0,unranked,4.8,14
A Better Pool Service,service@abetterpoolservice.com,(214) 347-8016,http://www.abetterpoolservice.com/,Allen,TX,Pool,0,unranked,4.4,38
RMD Pool Service,cs@rmdpoolservice.com,(972) 656-0703,https://rmdpoolservice.com/,Allen,TX,Pool,0,unranked,4.4,14
Santorini Pools,santorinipools@gmail.com,(469) 554-2741,https://www.mysantorinipools.com/,Garland,TX,Pool,0,unranked,4.9,27
Michael Solar Screens,michaelsolarscreens@gmail.com,(469) 562-3049,https://www.michaelsolarscreens.com/,Wylie,TX,Pool,0,unranked,5.0,31
Murphy Wallpaper Installer,info@murphywallpaperinstaller.com,(469) 933-0332,https://murphywallpaperinstaller.com/?utm_source=GMB&utm_id=GMB,Murphy,TX,Pool,0,unranked,5.0,10
Pool Cage Screening,brandonlm281988@gmail.com,(941) 713-6960,https://poolcagescreening.com/,Denton,TX,Pool,0,unranked,5.0,1
Able Handyman Services,ryangaker@gmail.com,(817) 504-3736,http://ablerenovationandhandyman.com/,Denton,TX,Pool,0,unranked,4.5,8
Ace Screen Repair & More LLC,office@acecfl.com,(239) 919-6779,https://acecfl.com/,Denton,TX,Pool,0,unranked,4.7,151
"FNS POOL SERVICE and REPAIRS, LLC",admin@fnspoolservicestx.com,(214) 515-2313,https://fnspoolservicestx.com/,Flower Mound,TX,Pool,0,unranked,4.8,39
Ameristar Screen and Glass,contact@ameristarglass.com,(972) 406-3200,http://www.ameristarglass.com/,Carrollton,TX,Pool,0,unranked,4.1,27
The Pool Store Coppell,inquiry@poolstorecoppell.com,(469) 200-0483,https://www.poolstorecoppell.com/,Coppell,TX,Pool,0,unranked,5.0,10
"Pirate Island Pools, LLC",pirateislandpools@gmail.com,(817) 925-4859,https://pirateislandpools.com/,Colleyville,TX,Pool,0,unranked,4.8,106
Kingswood landscape,info@kingswoodlandscape.com,(833) 383-1178,http://kingswoodlandscape.com/,Colleyville,TX,Pool,0,unranked,4.9,122
